AL011960,            UNNAMED,     27,
19600622, 0600,  , TD, 19.2N,  93.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600622, 1200,  , TD, 19.8N,  93.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600622, 1800,  , TD, 20.8N,  94.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600623, 0000,  , TD, 22.0N,  95.3W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600623, 0600,  , TS, 23.5N,  95.8W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600623, 1200,  , TS, 24.7N,  96.3W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600623, 1800,  , TS, 25.5N,  96.7W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600624, 0000,  , TS, 26.3N,  97.1W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600624, 0400, L, TS, 26.9N,  97.4W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600624, 0600,  , TS, 27.2N,  97.5W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600624, 1200,  , TS, 28.2N,  97.9W,  35, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600624, 1800,  , TD, 29.0N,  98.2W,  30, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600625, 0000,  , TD, 29.2N,  98.4W,  30, 1004, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600625, 0600,  , TD, 28.7N,  98.5W,  25, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600625, 1200,  , TD, 28.3N,  98.4W,  25, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600625, 1800,  , TD, 28.7N,  98.2W,  25, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600626, 0000,  , TD, 29.2N,  97.7W,  25, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600626, 0600,  , TD, 30.0N,  97.2W,  25, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600626, 1200,  , TD, 31.1N,  96.9W,  25, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600626, 1800,  , TD, 32.3N,  96.5W,  25, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600627, 0000,  , TD, 33.4N,  96.1W,  20, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600627, 0600,  , TD, 34.7N,  95.0W,  20, 1009, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600627, 1200,  , TD, 36.0N,  93.8W,  20, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600627, 1800,  , TD, 37.1N,  92.7W,  20, 1011, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600628, 0000,  , TD, 37.6N,  91.7W,  20, 1011, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600628, 0600,  , TD, 38.0N,  90.5W,  20, 1012, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600628, 1200,  , TD, 38.5N,  89.0W,  20, 1013, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
AL021960,               ABBY,     34,
19600709, 1200,  , TS, 12.0N,  55.8W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19600709, 1800,  , TS, 12.5N,  57.0W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
