EP012012,             ALETTA,     26,
20120513, 1800,  , LO,  9.5N, 104.7W,  25, 1008,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120514, 0000,  , LO,  9.5N, 105.1W,  25, 1008,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120514, 0600,  , LO,  9.6N, 105.5W,  25, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120514, 1200,  , TD,  9.8N, 106.1W,  30, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120514, 1800,  , TD, 10.1N, 106.8W,  30, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120515, 0000,  , TS, 10.4N, 107.5W,  35, 1004,   30,    0,    0,   30,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120515, 0600,  , TS, 10.7N, 108.3W,  35, 1003,   40,    0,    0,   40,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120515, 1200,  , TS, 10.9N, 109.1W,  40, 1002,   60,    0,    0,   60,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120515, 1800,  , TS, 11.1N, 109.9W,  45, 1001,   80,    0,    0,   60,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120516, 0000,  , TS, 11.3N, 110.7W,  45, 1000,   80,    0,    0,   60,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120516, 0600,  , TS, 11.4N, 111.5W,  45, 1000,   60,    0,    0,   60,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120516, 1200,  , TS, 11.4N, 112.3W,  45, 1001,   50,    0,    0,   50,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120516, 1800,  , TS, 11.4N, 113.1W,  40, 1002,   40,    0,    0,   40,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120517, 0000,  , TS, 11.5N, 113.9W,  35, 1003,   40,    0,    0,   40,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120517, 0600,  , TD, 11.6N, 114.5W,  30, 1004,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120517, 1200,  , TD, 12.1N, 114.8W,  30, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120517, 1800,  , TD, 12.7N, 114.7W,  30, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120518, 0000,  , TD, 13.3N, 114.4W,  30, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120518, 0600,  , TD, 13.7N, 114.1W,  30, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120518, 1200,  , TD, 14.0N, 113.9W,  30, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120518, 1800,  , TD, 14.3N, 113.6W,  30, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120519, 0000,  , TD, 14.5N, 113.3W,  25, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120519, 0600,  , LO, 14.7N, 113.0W,  25, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120519, 1200,  , LO, 14.7N, 112.6W,  25, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120519, 1800,  , LO, 14.5N, 112.3W,  25, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20120520, 0000,  , LO, 14.0N, 112.1W,  25, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
EP022012,                BUD,     25,
