IO, 01, 2026092218, 03, AEMN, 000, 175N,  849E,  47,  990, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 006, 180N,  847E,  36,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 012, 181N,  838E,  35,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 018, 180N,  835E,  33,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 024, 181N,  833E,  33,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 030, 183N,  832E,  33,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 036, 185N,  830E,  33,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 042, 192N,  828E,  31,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 048, 192N,  821E,  29,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 054, 190N,  819E,  30,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 060, 192N,  823E,  30,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 066, 201N,  827E,  29,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 072, 205N,  824E,  24,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 078, 209N,  822E,  22,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 084, 212N,  822E,  22,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 090, 218N,  825E,  20,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 096, 224N,  825E,  18,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 102, 229N,  822E,  19,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 108, 232N,  822E,  19, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 114, 236N,  823E,  17, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 120, 238N,  822E,  15, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 126, 241N,  817E,  16, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 132, 242N,  814E,  16, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 138, 244N,  816E,  15, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 144, 243N,  816E,  13, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092218, 03, AEMN, 150, 242N,  818E,  13, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092300, 03, AEMN, 000, 178N,  847E,  43,  990, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092300, 03, AEMN, 006, 178N,  844E,  42,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092300, 03, AEMN, 012, 183N,  842E,  37,  990, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092300, 03, AEMN, 018, 185N,  837E,  35,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 01, 2026092300, 03, AEMN, 024, 185N,  832E,  34,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
